"StichtagDatJahr","QuarSort","QuarLang","AnzBestWir"
1982,122,"Schwamendingen-Mitte",10638
1981,122,"Schwamendingen-Mitte",10692
1980,122,"Schwamendingen-Mitte",10961
1979,122,"Schwamendingen-Mitte",10990
1978,122,"Schwamendingen-Mitte",11072
1977,122,"Schwamendingen-Mitte",11243
1976,122,"Schwamendingen-Mitte",11334
1975,122,"Schwamendingen-Mitte",11583
1974,122,"Schwamendingen-Mitte",11797
1973,122,"Schwamendingen-Mitte",12118
1972,122,"Schwamendingen-Mitte",12465
1971,122,"Schwamendingen-Mitte",12738
1970,122,"Schwamendingen-Mitte",12849
1969,122,"Schwamendingen-Mitte",
1968,122,"Schwamendingen-Mitte",
1967,122,"Schwamendingen-Mitte",
1966,122,"Schwamendingen-Mitte",
1965,122,"Schwamendingen-Mitte",
1964,122,"Schwamendingen-Mitte",
1963,122,"Schwamendingen-Mitte",
1962,122,"Schwamendingen-Mitte",
1961,122,"Schwamendingen-Mitte",
1960,122,"Schwamendingen-Mitte",
1959,122,"Schwamendingen-Mitte",
1958,122,"Schwamendingen-Mitte",
1957,122,"Schwamendingen-Mitte",
1956,122,"Schwamendingen-Mitte",
1955,122,"Schwamendingen-Mitte",
1954,122,"Schwamendingen-Mitte",
1953,122,"Schwamendingen-Mitte",
1952,122,"Schwamendingen-Mitte",
1951,122,"Schwamendingen-Mitte",
1950,122,"Schwamendingen-Mitte",
1949,122,"Schwamendingen-Mitte",
1948,122,"Schwamendingen-Mitte",
1947,122,"Schwamendingen-Mitte",
1946,122,"Schwamendingen-Mitte",
1945,122,"Schwamendingen-Mitte",
1944,122,"Schwamendingen-Mitte",
1943,122,"Schwamendingen-Mitte",
1942,122,"Schwamendingen-Mitte",
1941,122,"Schwamendingen-Mitte",
2021,123,"Hirzenbach",12891
2020,123,"Hirzenbach",12963
2019,123,"Hirzenbach",13129
2018,123,"Hirzenbach",12801
2017,123,"Hirzenbach",12627
2016,123,"Hirzenbach",12463
2015,123,"Hirzenbach",11930
2014,123,"Hirzenbach",11679
2013,123,"Hirzenbach",11153
2012,123,"Hirzenbach",11404
2011,123,"Hirzenbach",11516
2010,123,"Hirzenbach",11459
2009,123,"Hirzenbach",11610
2008,123,"Hirzenbach",11478
2007,123,"Hirzenbach",11343
2006,123,"Hirzenbach",11205
2005,123,"Hirzenbach",11265
2004,123,"Hirzenbach",11336
2003,123,"Hirzenbach",11432
2002,123,"Hirzenbach",11434
2001,123,"Hirzenbach",11302
2000,123,"Hirzenbach",11281
1999,123,"Hirzenbach",11119
1998,123,"Hirzenbach",11015
1997,123,"Hirzenbach",11013
1996,123,"Hirzenbach",10990
1995,123,"Hirzenbach",10995
1994,123,"Hirzenbach",10895
1993,123,"Hirzenbach",10834
1992,123,"Hirzenbach",10860
1991,123,"Hirzenbach",10922
1990,123,"Hirzenbach",10958
1989,123,"Hirzenbach",10983
1988,123,"Hirzenbach",11083
1987,123,"Hirzenbach",11124
1986,123,"Hirzenbach",11199
1985,123,"Hirzenbach",11205
1984,123,"Hirzenbach",11389
1983,123,"Hirzenbach",11434
1982,123,"Hirzenbach",11540
1981,123,"Hirzenbach",11610
1980,123,"Hirzenbach",11661
1979,123,"Hirzenbach",11950
1978,123,"Hirzenbach",12052
1977,123,"Hirzenbach",12277
1976,123,"Hirzenbach",12364
1975,123,"Hirzenbach",12514
1974,123,"Hirzenbach",12759
1973,123,"Hirzenbach",12975
1972,123,"Hirzenbach",13286
1971,123,"Hirzenbach",13627
1970,123,"Hirzenbach",13723
1969,123,"Hirzenbach",
1968,123,"Hirzenbach",
1967,123,"Hirzenbach",
1966,123,"Hirzenbach",
1965,123,"Hirzenbach",
1964,123,"Hirzenbach",
1963,123,"Hirzenbach",
1962,123,"Hirzenbach",
1961,123,"Hirzenbach",
1960,123,"Hirzenbach",
1959,123,"Hirzenbach",
1958,123,"Hirzenbach",
1957,123,"Hirzenbach",
1956,123,"Hirzenbach",
1955,123,"Hirzenbach",
1954,123,"Hirzenbach",
1953,123,"Hirzenbach",
1952,123,"Hirzenbach",
1951,123,"Hirzenbach",
1950,123,"Hirzenbach",
1949,123,"Hirzenbach",
1948,123,"Hirzenbach",
1947,123,"Hirzenbach",
1946,123,"Hirzenbach",
1945,123,"Hirzenbach",
1944,123,"Hirzenbach",
1943,123,"Hirzenbach",
1942,123,"Hirzenbach",
1941,123,"Hirzenbach",
